#flow_id|protocol|first_seen|last_seen|duration|src_ip|src_port|dst_ip|dst_port|ndpi_proto_num|ndpi_proto|proto_by_ip|server_name_sni|c_to_s_pkts|c_to_s_bytes|c_to_s_goodput_bytes|s_to_c_pkts|s_to_c_bytes|s_to_c_goodput_bytes|data_ratio|str_data_ratio|c_to_s_goodput_ratio|s_to_c_goodput_ratio|iat_flow_min|iat_flow_avg|iat_flow_max|iat_flow_stddev|iat_c_to_s_min|iat_c_to_s_avg|iat_c_to_s_max|iat_c_to_s_stddev|iat_s_to_c_min|iat_s_to_c_avg|iat_s_to_c_max|iat_s_to_c_stddev|pktlen_c_to_s_min|pktlen_c_to_s_avg|pktlen_c_to_s_max|pktlen_c_to_s_stddev|pktlen_s_to_c_min|pktlen_s_to_c_avg|pktlen_s_to_c_max|pktlen_s_to_c_stddev|cwr|ece|urg|ack|psh|rst|syn|fin|c_to_s_cwr|c_to_s_ece|c_to_s_urg|c_to_s_ack|c_to_s_psh|c_to_s_rst|c_to_s_syn|c_to_s_fin|s_to_c_cwr|s_to_c_ece|s_to_c_urg|s_to_c_ack|s_to_c_psh|s_to_c_rst|s_to_c_syn|s_to_c_fin|c_to_s_init_win|s_to_c_init_win|server_info|tls_version|quic_version|ja3s|advertised_alpns|negotiated_alpn|tls_supported_versions|ssh_client_hassh|ssh_server_hassh|flow_info|plen_bins|http_user_agent
8|6|1749623084.139|1749623096.494|12.355|172.31.14.200|41378|160.79.104.10|443|91|TLS|Unknown|api.anthropic.com|84|6725|1173|82|17681|12261|-0.449|Download|17.4|69.3|1|146.0|3048|336.5|0|149.0|3048|365.2|0|117.5|831|118.8|66|80.1|583|72.6|66|215.6|260|45.1|0|0|0|165|81|0|2|2|0|0|0|83|4|0|1|1|0|0|0|82|77|0|1|1|74|74||TLSv1.2|0||http/1.1||TLSv1.3;TLSv1.2||||1;0;4;1;27;61;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
10|6|1749623095.444|1749623107.370|11.926|172.31.14.200|54786|160.79.104.10|443|91|TLS|Unknown|api.anthropic.com|127|9563|1173|122|27310|19250|-0.481|Download|12.3|70.5|1|92.2|2000|199.6|0|90.5|2000|198.0|0|75.3|360|55.5|66|75.3|583|59.4|66|223.9|530|43.5|0|0|0|248|122|0|2|2|0|0|0|126|4|0|1|1|0|0|0|122|118|0|1|1|74|74||TLSv1.2|0||http/1.1||TLSv1.3;TLSv1.2||||0;0;0;0;41;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
7|6|1749623077.625|1749623107.128|29.503|24.130.134.221|64246|172.31.14.200|22|92|SSH|Unknown|SSH-2.0-OpenSSH_9.7|2007|172459|39985|1085|116741|44931|0.193|Mixed|23.2|38.5|1|14.6|4758|121.4|0|14.0|4758|123.0|0|27.4|4772|181.9|66|85.9|1274|39.0|66|107.6|1358|68.2|0|0|0|3091|2018|0|2|0|0|0|0|2006|971|0|1|0|0|0|0|1085|1047|0|1|0|78|74|SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.11|0|0||||||E42184B06D45385A906F0803D04C83DA||1;85;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
12|17|1749623098.305|1749623098.379|0.074|172.31.14.200|33317|91.189.91.157|123|9|NTP|UbuntuONE||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|74|74.0|74|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
15|6|1749623107.512|1749623112.150|4.638|172.31.14.200|38020|160.79.104.10|443|91|TLS|Unknown|api.anthropic.com|50|4481|1173|48|10506|7330|-0.402|Download|26.2|69.8|1|58.8|187|50.1|0|63.7|187|50.1|5|67.5|187|50.6|66|89.6|583|92.9|66|218.9|462|53.8|0|0|0|97|49|0|2|0|0|0|0|49|4|0|1|0|0|0|0|48|45|0|1|0|74|74||TLSv1.2|0||http/1.1||TLSv1.3;TLSv1.2||||0;0;4;0;42;46;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
2|6|1749623052.243|1749623112.165|59.922|172.31.14.200|22|24.130.134.221|61783|92|SSH|Unknown||931|168526|107080|508|33636|72|0.667|Upload|63.5|0.2|1|61.7|2149|174.2|0|61.8|2163|175.7|0|125.2|2163|253.6|66|181.0|782|58.4|66|66.2|102|2.4|0|0|0|1439|931|0|0|0|0|0|0|931|929|0|0|0|0|0|0|508|2|0|0|0|0|0||0|0||||||||0;6;41;0;41;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
13|17|1749623100.632|1749623100.762|0.130|172.31.14.200|34260|185.125.190.58|123|9|NTP|UbuntuONE||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|130|130.0|130|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
6|6|1749623069.915|1749623085.050|15.135|172.31.14.200|45808|160.79.104.10|443|91|TLS|Unknown|api.anthropic.com|145|10751|1173|141|31461|22147|-0.491|Download|10.9|70.4|1|104.9|2909|249.3|0|101.6|2909|269.8|0|88.6|725|85.0|66|74.1|583|55.7|66|223.1|454|38.8|0|0|0|285|140|0|2|2|0|0|0|144|4|0|1|1|0|0|0|141|136|0|1|1|74|74||TLSv1.2|0||http/1.1||TLSv1.3;TLSv1.2||||0;0;0;0;34;61;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
9|17|1749623085.235|1749623085.235|0.000|172.31.14.200|59600|169.254.169.123|123|9|NTP|Unknown||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
11|17|1749623098.114|1749623098.255|0.141|172.31.14.200|60480|185.125.190.57|123|9|NTP|UbuntuONE||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|140|140.0|140|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
