#flow_id|protocol|first_seen|last_seen|duration|src_ip|src_port|dst_ip|dst_port|ndpi_proto_num|ndpi_proto|proto_by_ip|server_name_sni|c_to_s_pkts|c_to_s_bytes|c_to_s_goodput_bytes|s_to_c_pkts|s_to_c_bytes|s_to_c_goodput_bytes|data_ratio|str_data_ratio|c_to_s_goodput_ratio|s_to_c_goodput_ratio|iat_flow_min|iat_flow_avg|iat_flow_max|iat_flow_stddev|iat_c_to_s_min|iat_c_to_s_avg|iat_c_to_s_max|iat_c_to_s_stddev|iat_s_to_c_min|iat_s_to_c_avg|iat_s_to_c_max|iat_s_to_c_stddev|pktlen_c_to_s_min|pktlen_c_to_s_avg|pktlen_c_to_s_max|pktlen_c_to_s_stddev|pktlen_s_to_c_min|pktlen_s_to_c_avg|pktlen_s_to_c_max|pktlen_s_to_c_stddev|cwr|ece|urg|ack|psh|rst|syn|fin|c_to_s_cwr|c_to_s_ece|c_to_s_urg|c_to_s_ack|c_to_s_psh|c_to_s_rst|c_to_s_syn|c_to_s_fin|s_to_c_cwr|s_to_c_ece|s_to_c_urg|s_to_c_ack|s_to_c_psh|s_to_c_rst|s_to_c_syn|s_to_c_fin|c_to_s_init_win|s_to_c_init_win|server_info|tls_version|quic_version|ja3s|advertised_alpns|negotiated_alpn|tls_supported_versions|ssh_client_hassh|ssh_server_hassh|flow_info|plen_bins|http_user_agent
9|17|1746925579.419|1746925579.420|0.001|172.31.14.200|39695|172.31.0.2|53|5|DNS|Unknown|ssm.us-west-1.amazonaws.com|1|98|56|1|114|72|-0.075|Mixed|56.6|62.6|1|1.0|1|0.0|0|0.0|0|0.0|0|0.0|0|0.0|98|98.0|98|0.0|114|114.0|114|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|||||||52.119.180.144|0;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
10|6|1746925579.420|1746925588.481|9.061|172.31.14.200|54534|52.119.180.144|443|91.265|TLS.AmazonAWS|AmazonAWS|ssm.us-west-1.amazonaws.com|16|3979|3095|19|2194|1102|0.289|Upload|77.8|50.2|28|28.0|28|0.0|0|2.4|29|8.0|0|2.0|28|7.2|54|248.7|1262|381.5|60|115.5|340|88.5|0|0|0|34|17|0|2|2|0|0|0|15|8|0|1|1|0|0|0|19|9|0|1|1|74|66||TLSv1.3|0|f4febc55ea12b31ae17cfb7e614afda8|h2;http/1.1||TLSv1.3;TLSv1.2||||23;23;5;0;5;5;0;0;17;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0|
2|6|1746925545.600|1746925548.056|2.456|172.31.14.200|8765|24.130.134.221|49801|251|WebSocket|Unknown||7|494|32|10|721|61|-0.187|Mixed|6.5|8.4|4|9.5|17|5.3|0|8.4|22|9.0|0|5.6|18|6.3|66|70.6|82|5.3|66|72.1|99|9.9|0|0|0|17|8|0|0|2|0|0|0|7|4|0|0|1|0|0|0|10|4|0|0|1|0|0||0|0||||||||87;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
1|17|1746925544.141|1746925544.143|0.002|172.31.14.200|34728|169.254.169.123|123|9|NTP|Unknown||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|1|1.0|1|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
6|17|1746925576.522|1746925576.522|0.000|172.31.14.200|34733|169.254.169.123|123|9|NTP|Unknown||1|90|48|1|90|48|0.000|Mixed|52.7|52.7|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|90|90.0|90|0.0|90|90.0|90|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
8|17|1746925579.418|1746925579.420|0.002|172.31.14.200|55162|172.31.0.2|53|5|DNS|Unknown|ssm.us-west-1.amazonaws.com|1|98|56|1|180|138|-0.295|Download|56.6|76.2|1|1.0|1|0.0|0|0.0|0|0.0|0|0.0|0|0.0|98|98.0|98|0.0|180|180.0|180|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|||||||0.0.0.0|0;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
0|6|1746925543.433|1746925543.465|0.032|24.130.134.221|55002|172.31.14.200|22|92|SSH|Unknown||5|330|0|3|702|504|-0.360|Download|0.0|71.7|1|7.2|14|5.1|0|7.5|16|6.1|0|8.0|16|8.0|66|66.0|66|0.0|110|234.0|466|164.2|0|0|0|8|3|0|0|0|0|0|0|5|0|0|0|0|0|0|0|3|3|0|0|0|0|0||0|0||||||||0;66;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
3|6|1746925545.621|1746925601.371|55.750|172.31.14.200|22|24.130.134.221|55009|92|SSH|Unknown||31|5362|3316|31|2046|0|0.448|Upload|61.8|0.0|15|838.0|3689|1060.7|16|1845.4|3710|880.0|203|1845.3|3706|835.5|158|173.0|174|3.9|66|66.0|66|0.0|0|0|0|62|31|0|0|0|0|0|0|31|31|0|0|0|0|0|0|31|0|0|0|0|0|0||0|0||||||||0;0;6;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
7|6|1746925579.414|1746925579.415|0.001|172.31.14.200|33164|169.254.169.254|80|7|HTTP|Unknown|169.254.169.254|5|585|247|5|863|525|-0.192|Mixed|42.2|60.8|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|66|117.0|313|98.0|66|172.6|591|209.2|0|0|0|9|2|0|2|2|0|0|0|4|1|0|1|1|0|0|0|5|1|0|1|1|74|74||0|0||||||||0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|aws-sdk-go/1.55.5 (go1.22.11; linux; amd64)
4|6|1746925549.308|1746925586.718|37.410|24.130.134.221|49867|172.31.14.200|8765|7.251|HTTP.WebSocket|Unknown|54.176.21.146|52|4521|1077|29|2609|687|0.268|Upload|23.8|26.3|4|740.2|2506|915.5|0|756.3|2506|920.4|0|1381.9|2511|848.3|66|86.9|336|41.1|66|90.0|371|54.2|0|0|0|80|48|0|2|2|0|0|0|51|24|0|1|1|0|0|0|29|24|0|1|1|78|74||0|0||||||||60;33;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|Python/3.13 websockets/15.0.1
